1 00:00:03,946 --> 00:00:05,368 Speaker SPEAKER_01: 嗨，大家好。
678 01:02:00,985 --> 01:02:09,452 说话人 SPEAKER_12：然后是存在风险，这正是我所担忧的。
679 01:02:09,472 --> 01:02:18,400 说话人 SPEAKER_12：存在风险是指人类被消灭，因为我们开发了一种更高级的智能形式，它决定接管控制权。
680 01:02:19,221 --> 01:02:22,804 说话人 SPEAKER_12：如果它变得比我们聪明得多，那么这里有很多假设。
681 01:02:23,204 --> 01:02:24,346 说话人 SPEAKER_12：这是一个充满不确定性的时代。
682 01:02:24,385 --> 01:02:29,489 说话人 SPEAKER_12：您不应该太认真对待我说的话。
683 01:02:29,925 --> 01:02:42,509 说话人 SPEAKER_12：如果我们创造出比我们更聪明的东西，因为这些数字智能可以更好地共享，所以它们可以学习得更多，我们不可避免地会让这些聪明的东西创造次级智能体。
684 01:02:42,869 --> 01:02:47,157 说话人 SPEAKER_12：如果您想让它们做某事，为了做到这一点，它们会想出，嗯，您必须先做其他事情。
685 01:02:47,177 --> 01:02:50,583 说话人 SPEAKER_12: 像是要去欧洲，你得先去机场。
686 01:02:51,155 --> 01:02:52,599 说话人 SPEAKER_12: 那是一个子目标。
687 01:02:52,619 --> 01:02:53,844 说话人 SPEAKER_12: 所以他们会设定子目标。
688 01:02:54,286 --> 01:02:59,563 说话人 SPEAKER_12: 很明显的一个子目标是，如果你想完成任何事情，就要获得更多的权力。
689 01:03:00,184 --> 01:03:03,054 说话人 SPEAKER_12：如果你获得更多控制权，做事情就会更容易。
690 01:03:03,422 --> 01:03:08,128 说话人 SPEAKER_12：因此，任何能够创建子目标的东西都会产生获得更多控制的子目标。
691 01:03:09,170 --> 01:03:13,333 说话人 SPEAKER_12：如果比我们更智能的东西想要获得控制权，它们会这么做。
692 01:03:13,375 --> 01:03:15,317 说话人 SPEAKER_12：我们无法阻止它们。
693 01:03:15,336 --> 01:03:19,161 说话人 SPEAKER_12：我们必须要想办法阻止他们永远想要控制。
694 01:03:20,061 --> 01:03:20,862 说话人 SPEAKER_12：还有一些希望。
695 01:03:21,403 --> 01:03:23,306 说话人 SPEAKER_12：这些事情并没有进化。
696 01:03:23,365 --> 01:03:24,807 说话人 SPEAKER_12：它们不是恶意的竞争性事物。
697 01:03:24,887 --> 01:03:27,590 说话人 SPEAKER_12: 我们就是这样做的。
698 01:03:28,617 --> 01:03:29,518 说话人 SPEAKER_12: 他们是不朽的。
699 01:03:30,278 --> 01:03:35,724 说话人 SPEAKER_12: 所以对于数字智能，你只需将权重存储在某个地方，你就可以在其他硬件上再次运行它。
700 01:03:36,505 --> 01:03:39,809 说话人 SPEAKER_12: 因此，我们实际上发现了不朽的秘密。
701 01:03:40,391 --> 01:03:41,692 说话人 SPEAKER_12: 唯一的问题是这不是为我们准备的。
702 01:03:41,791 --> 01:03:43,273 说话人 SPEAKER_12: 我们是不朽的。
703 01:03:43,635 --> 01:03:44,856 说话人 SPEAKER_12: 但是这些其他的东西是不朽的。
704 01:03:45,155 --> 01:03:50,742 说话人 SPEAKER_12: 这可能会使它们变得更好，因为它们不担心死亡，而且它们不需要……
705 01:03:51,331 --> 01:03:57,278 说话人 SPEAKER_12: 好吧，它们非常像希腊神话中的神，我必须说一句埃隆·马斯克告诉我的话。
706 01:03:57,318 --> 01:04:00,514 说话人 SPEAKER_12: 这是埃隆·马斯克的信仰。
707 01:04:01,692 --> 01:04:05,376 说话人 SPEAKER_12: 是的，我们是数字智能的引导程序。
708 01:04:05,476 --> 01:04:10,623 说话人 SPEAKER_12: 我们是相对愚蠢的智能形式，但足够聪明，可以创造计算机和人工智能。
709 01:04:11,384 --> 01:04:13,465 说话人 SPEAKER_12: 这将是一种更加智能的智能形式。
710 01:04:14,327 --> 01:04:19,554 说话人 SPEAKER_12: 而 Elon Musk 认为这将使我们得以留存，因为有了人类的世界会比没有人类的世界更有趣。
711 01:04:20,434 --> 01:04:23,117 说话人 SPEAKER_12: 这似乎是一个非常脆弱的未来依托。
712 01:04:23,798 --> 01:04:25,219 说话人 SPEAKER_12: 但这与费伊·费伊所说的有关。
713 01:04:25,420 --> 01:04:29,826 说话人 SPEAKER_12: 这非常像希腊神话中的神，神们有人们围绕他们玩乐。
714 01:04:30,666 --> 01:04:34,514 说话人 SPEAKER_05: 好的，我可以评论一下吗？
715 01:04:34,534 --> 01:04:35,554 说话人 SPEAKER_05: 我说的都没有争议。
716 01:04:35,815 --> 01:04:36,516 说话人 SPEAKER_05: 不，一点都没有。
717 01:04:37,277 --> 01:04:48,878 说话人 SPEAKER_05：所以我想要将您的四个担忧进行分类，经济、劳动、虚假信息和武器化，然后是灭绝。
718 01:04:49,239 --> 01:04:50,940 说话人 SPEAKER_12：我忘记了歧视和偏见。
719 01:04:50,960 --> 01:04:54,226 说话人 SPEAKER_05：好的，所以我想要将它们分为两大类。
720 01:04:54,527 --> 01:05:00,456 说话人 SPEAKER_05：希腊神话中的灭绝是灭绝类别。
721 01:05:00,717 --> 01:05:03,942 说话人 SPEAKER_05：其他所有我都称之为灾难性的。
722 01:05:03,961 --> 01:05:05,423 说话人 SPEAKER_05：灾难性的。
723 01:05:05,463 --> 01:05:08,369 说话人 SPEAKER_05：灾难性的危险。
724 01:05:08,829 --> 01:05:10,010 说话人 SPEAKER_05：我想对此进行评论。
725 01:05:10,472 --> 01:05:21,547 说话人 SPEAKER_05: 我认为作为 AI 生态系统中的一员，我真正感到的责任是
726 01:05:22,253 --> 01:05:29,599 说话人 SPEAKER_05: 确保我们不是在夸张地谈论，尤其是与公共政策制定者交流时。
727 01:05:30,161 --> 01:05:42,731 说话人 SPEAKER_05: 恐怖灭绝的风险，Jeff，尽管我非常尊重您的观点，这是一个学术界和智库应该研究的非常有趣的思想过程。
728 01:05:42,853 --> 01:05:44,454 说话人 SPEAKER_12: 我已经这样想了很多年。
729 01:05:45,094 --> 01:05:49,219 说话人 SPEAKER_12: 我以为这还离得很远，未来，有哲学家和学者从事这项工作真是太好了。
730 01:05:49,478 --> 01:05:50,639 说话人 SPEAKER_12: 我认为这要原创得多。
731 01:05:50,771 --> 01:05:55,577 说话人 SPEAKER_05: 但这个过程不仅仅是机器。
732 01:05:55,737 --> 01:05:58,199 说话人 SPEAKER_05: 人类也参与了这一混乱的过程。
733 01:05:58,599 --> 01:06:01,282 说话人 SPEAKER_05: 我认为这里有很多细微差别。
734 01:06:01,362 --> 01:06:04,606 说话人 SPEAKER_05: 比如说，我们谈论核能。
735 01:06:04,626 --> 01:06:06,347 说话人 SPEAKER_05: 我知道核能的范围要窄得多。
736 01:06:06,728 --> 01:06:14,556 说话人 SPEAKER_05: 但如果你考虑核能，它不仅仅是聚变或裂变的理论，或者 whatever。
737 01:06:14,856 --> 01:06:19,041 说话人 SPEAKER_05: 真正获得铀或钚
738 01:06:19,021 --> 01:06:22,585 说话人 SPEAKER_05: 系统工程、人才等等。
739 01:06:22,625 --> 01:06:24,447 说话人 SPEAKER_05: 我相信你看过电影《奥本海默》。
740 01:06:24,847 --> 01:06:33,077 说话人 SPEAKER_05: 所以在这里，如果我们朝着那个方向发展，我认为我们有机会，不仅仅是战斗的机会，因为我们是人类社会。
741 01:06:33,398 --> 01:06:36,161 说话人 SPEAKER_05: 我们将设立护栏，我们将共同努力。
742 01:06:36,302 --> 01:06:48,976 说话人 SPEAKER_05: 我不想描绘出一幅明天我们将拥有所有这些机器人，尤其是以机器人形态、物理形态出现的机器人的画面。
743 01:06:48,956 --> 01:06:50,280 说话人 SPEAKER_05: 我们将面临机器主宰的局面。
744 01:06:50,360 --> 01:06:53,806 说话人 SPEAKER_05: 我真的认为我们需要小心行事。
745 01:06:53,887 --> 01:06:57,574 说话人 SPEAKER_05: 但我并不反对你，我们认为这是我们需要思考的问题。
746 01:06:57,594 --> 01:06:59,456 说话人 SPEAKER_05: 所以这是灭绝桶。
747 01:06:59,858 --> 01:07:03,965 说话人 SPEAKER_05: 灾难性风险桶，我认为这更加真实。
748 01:07:04,547 --> 01:07:06,931 说话人 SPEAKER_05: 我认为我们需要最聪明的人
749 01:07:06,911 --> 01:07:08,994 说话人 SPEAKER_05：人多力量大，一起工作更愉快。
750 01:07:09,054 --> 01:07:11,215 说话人 SPEAKER_05：所以，我想对每一个都评论一下。
751 01:07:11,577 --> 01:07:12,637 说话人 SPEAKER_05：武器化，对吧？
752 01:07:12,677 --> 01:07:14,119 说话人 SPEAKER_05：这真的是真的。
753 01:07:14,338 --> 01:07:16,561 说话人 SPEAKER_05: 我完全同意你的看法。
754 01:07:16,902 --> 01:07:18,943 说话人 SPEAKER_05: 我们需要国际合作。
755 01:07:19,023 --> 01:07:21,126 说话人 SPEAKER_05: 我们需要潜在的条约。
756 01:07:21,505 --> 01:07:23,648 说话人 SPEAKER_05: 我们需要理解参数。
757 01:07:23,788 --> 01:07:32,717 说话人 SPEAKER_05: 人类，尽管我对人类持乐观态度，但我对人类的自我毁灭也感到悲观。
758 01:07:32,697 --> 01:07:36,103 说话人 SPEAKER_05: 人类的能力以及相互毁灭。
759 01:07:36,443 --> 01:07:39,028 说话人 SPEAKER_05: 因此，我们必须让人们为此而努力。
760 01:07:39,108 --> 01:07:44,639 说话人 SPEAKER_05: 我们的友人 Stuart Russell 以及许多 AI 专家都在讨论这个问题。
761 01:07:45,340 --> 01:07:49,849 说话人 SPEAKER_05: 接下来你提到的第二个桶是虚假信息。
762 01:07:50,269 --> 01:07:52,173 说话人 SPEAKER_05: 这又是，
763 01:07:52,153 --> 01:07:58,481 说话人 SPEAKER_05: 我的意思是，2024 年，大家都在关注美国大选以及 AI 将如何发挥作用。
764 01:07:59,282 --> 01:08:05,230 说话人 SPEAKER_05: 我认为我们必须解决社交媒体问题。
765 01:08:05,329 --> 01:08:08,634 说话人 SPEAKER_05：我们必须解决虚假信息问题。
766 01:08:08,653 --> 01:08:11,538 说话人 SPEAKER_05：从技术角度看，我现在看到的工作更多了。
767 01:08:12,139 --> 01:08:18,126 说话人 SPEAKER_05：数字认证在技术上是实际上一个非常活跃的研究领域。
768 01:08:18,587 --> 01:08:20,389 说话人 SPEAKER_05：我认为我们需要，
769 01:08:20,707 --> 01:08:21,988 说话人 SPEAKER_05: 我们需要投资。
770 01:08:22,069 --> 01:08:23,131 说话人 SPEAKER_05: 我知道 Adobe 是。
771 01:08:23,351 --> 01:08:24,793 说话人 SPEAKER_05: 我知道学术界是。
772 01:08:24,934 --> 01:08:26,195 说话人 SPEAKER_05: 我认为我们需要。
773 01:08:26,216 --> 01:08:31,586 说话人 SPEAKER_05：我希望在这个领域有初创公司正在关注数字认证。
774 01:08:31,865 --> 01:08:33,368 说话人 SPEAKER_05：但我们还需要政策。
775 01:08:33,909 --> 01:08:34,690 说话人 SPEAKER_05：然后是工作。
776 01:08:35,773 --> 01:08:37,114 说话人 SPEAKER_05：我非常同意。
777 01:08:37,856 --> 01:08:42,123 说话人 SPEAKER_05：实际上，你使用了我认为最重要的工作，它真的很
778 01:08:42,104 --> 01:08:45,248 说话人 SPEAKER_05：在我们的人工智能辩论的核心是人的尊严。
779 01:08:46,751 --> 01:08:52,019 说话人 SPEAKER_05：人的尊严不仅仅在于你赚多少钱，你工作多少小时。
780 01:08:52,940 --> 01:09:02,796 说话人 SPEAKER_05：我实际上认为如果我们这样做是正确的，我们将从劳动力经济转向尊严经济，在这种意义上，人类
781 01:09:02,775 --> 01:09:18,418 机器的帮助和协作，我们将因为激情、个性化和专业技能而赚钱，而不仅仅是那些真正辛苦和单调的工作。
782 01:09:18,819 --> 01:09:25,488 这也是为什么斯坦福大学的人类增强 AI 有一个基本原则。
783 01:09:25,829 --> 01:09:28,833 我们在医疗保健领域看到了这一点，这是最大的领域之一。
784 01:09:28,814 --> 01:09:37,329 ChatGPT 最早的几天，我就有一个来自斯坦福医院的医生朋友走过来对我说，Fei-Fei，我想感谢你为 ChatGPT 所做的一切。
785 01:09:37,350 --> 01:09:38,471 说话人 SPEAKER_05: 我说，我没有做什么。
786 01:09:38,872 --> 01:09:46,587 说话人 SPEAKER_05: 但他说我们正在使用来自 GPT 的医疗摘要工具，因为
787 01:09:46,567 --> 01:09:50,369 说话人 SPEAKER_05: 因为这对我们的医生来说是一个巨大的负担。
788 01:09:50,449 --> 01:09:52,652 说话人 SPEAKER_05: 它在占用患者的时间。
789 01:09:52,671 --> 01:09:55,854 说话人 SPEAKER_05: 但正因为如此，我得到了更多时间。
790 01:09:56,194 --> 01:09:57,737 说话人 SPEAKER_05: 这就是一个完美的例子。
791 01:09:57,817 --> 01:09:59,018 说话人 SPEAKER_05: 我们还将看到更多这样的情况。
792 01:09:59,057 --> 01:10:02,820 说话人 SPEAKER_05: 我们甚至可能在蓝领工作中看到这种情况。
793 01:10:02,900 --> 01:10:06,784 说话人 SPEAKER_05：所以我们有机会把这件事做对。
794 01:10:07,604 --> 01:10:16,573 说话人 SPEAKER_05：我会在灾难性担忧的基础上再增加一个担忧，那就是你提到的权力不平衡。
795 01:10:16,552 --> 01:10:27,323 说话人 SPEAKER_05：我现在看到的一种权力不平衡，而且它正在以惊人的速度加剧，就是将公共部门排除在外。
796 01:10:27,826 --> 01:10:29,007 说话人 SPEAKER_05：我不了解加拿大。
美国没有一所大学能训练出聊天 GPT。
今天，从计算能力上来说，美国任何一所大学都无法训练出聊天 GPT。
我认为把美国所有大学的计算能力加起来。
GPT、A100 或 H100，可能没有人有，但 A100 无法训练出聊天 GPT。
801 01:10:49,881 --> 01:11:02,336 讲者 SPEAKER_05: 但这正是我们拥有独特数据来治愈癌症、对抗气候变化、研究经济和法律的地方。
802 01:11:02,877 --> 01:11:05,179 讲者 SPEAKER_05: 我们需要投资公共部门。
803 01:11:05,279 --> 01:11:09,765 讲者 SPEAKER_05: 如果我们现在不行动，我们将让整整一代人失败。
804 01:11:10,104 --> 01:11:12,868 讲者 SPEAKER_05: 我们还将留下这种权力不平衡。
805 01:11:12,847 --> 01:11:15,752 说话人 SPEAKER_05：以如此危险的方式。
806 01:11:16,153 --> 01:11:17,494 说话人 SPEAKER_05：所以我同意你的看法。
807 01:11:17,655 --> 01:11:23,645 说话人 SPEAKER_05：我认为我们面临许多灾难性风险，我们需要采取行动。
808 01:11:23,725 --> 01:11:28,273 说话人 SPEAKER_05：这就是为什么我们需要与政策制定者和民间社会合作。
809 01:11:29,194 --> 01:11:36,546 说话人 SPEAKER_05：我不知道我是用乐观的语气说的，还是用悲观的语气，现在听起来我更悲观。
810 01:11:36,565 --> 01:11:39,210 说话人 SPEAKER_05：但我确实认为还有很多工作要做。
811 01:11:39,847 --> 01:11:58,949 说话人 SPEAKER_10：乐观地看，自从你们过去六到八个月来一直非常积极地谈论这个问题，已经发生了巨大的转变，正如你所说，杰夫，关键研究人员开始关注这些问题，然后公众和政策也在转变，政府实际上开始认真对待这个问题。
812 01:11:59,051 --> 01:12:08,742 说话人 SPEAKER_10：所以，我的意思是，你在向白宫和美国政府提供建议，你也和他们交谈过，你也和多位总理坐在一起讨论过。
813 01:12:09,127 --> 01:12:17,198 说话人 SPEAKER_10: 也许，他们现在正在倾听，对吧，这是一种他们 10 个月前、12 个月前可能不会的方式。
814 01:12:18,020 --> 01:12:20,724 说话人 SPEAKER_10: 你对这个方向持乐观态度吗？
815 01:12:22,167 --> 01:12:29,738 说话人 SPEAKER_12: 我乐观地认为人们已经理解了存在一系列问题，包括灾难性风险和存在性风险。
816 01:12:29,757 --> 01:12:31,881 说话人 SPEAKER_12: 我完全同意 Fei-Fei 的观点。
817 01:12:31,921 --> 01:12:33,543 说话人 SPEAKER_12：灾难性风险更加紧迫。
818 01:12:34,125 --> 01:12:37,750 说话人 SPEAKER_12：特别是 2024 年非常紧迫。
819 01:12:39,703 --> 01:12:42,713 说话人 SPEAKER_12：我相当乐观，现在人们正在倾听，是的。
820 01:12:42,734 --> 01:12:43,898 说话人 SPEAKER_05：是的，我同意。
821 01:12:43,957 --> 01:12:52,988 说话人 SPEAKER_05: 我认为他们在听，但我首先想问，你们是从哪里听的？
822 01:12:53,862 --> 01:13:01,551 说话人 SPEAKER_05: 再次，我看到公共部门和私营部门之间存在不对称，甚至在私营部门，你们是从哪里听的？
823 01:13:01,570 --> 01:13:06,597 说话人 SPEAKER_05: 不应该只有大公司和名人初创企业。
824 01:13:06,698 --> 01:13:10,823 说话人 SPEAKER_05: 农业部门、教育部门也有很多。
825 01:13:10,983 --> 01:13:16,630 说话人 SPEAKER_05: 那么，在所有这些噪音之后，一秒是……
826 01:13:16,609 --> 01:13:18,274 说话人 SPEAKER_05: 什么是一个好的政策？
827 01:13:18,394 --> 01:13:22,363 说话人 SPEAKER_05: 我们谈论的是监管与无监管。
828 01:13:23,045 --> 01:13:26,453 说话人 SPEAKER_05: 我实际上不知道加拿大处于什么位置。
829 01:13:26,493 --> 01:13:30,622 Speaker SPEAKER_05: 美国创新，欧洲监管。
830 01:13:30,903 --> 01:13:31,885 Speaker SPEAKER_05: 加拿大在哪里？
831 01:13:31,864 --> 01:13:32,666 Speaker SPEAKER_10: 你中间怎么样？
832 01:13:33,006 --> 01:13:33,528 Speaker SPEAKER_05: 好的，很好。
833 01:13:33,587 --> 01:13:34,770 说话人 SPEAKER_05: 真好。
834 01:13:34,789 --> 01:13:44,307 说话人 SPEAKER_05: 所以我认为我们需要激励政策、建设公共部门、释放数据的力量。
835 01:13:44,347 --> 01:13:49,738 说话人 SPEAKER_05: 我们有大量数据被锁定在我们的政府中，无论是
836 01:13:49,717 --> 01:13:59,652 说话人 SPEAKER_05: 森林火灾数据、野生动物数据、交通数据、气候数据，这些都是激励措施。
837 01:13:59,712 --> 01:14:02,815 说话人 SPEAKER_05: 然后是有益的法规。
838 01:14:03,356 --> 01:14:09,786 说话人 SPEAKER_05: 例如，我们非常直言不讳。
839 01:14:09,765 --> 01:14:12,390 说话人 SPEAKER_05: 在监管方面你必须非常小心。
840 01:14:12,411 --> 01:14:13,372 说话人 SPEAKER_05: 你在哪里进行监管？
841 01:14:13,512 --> 01:14:14,615 说话人 SPEAKER_05：上游？
842 01:14:14,655 --> 01:14:15,317 说话人 SPEAKER_05：下游？
843 01：14：15,356 --> 01：14：20,648 议长 SPEAKER_05：对我来说，最紧迫的监管点之一是橡胶与道路的交汇处。
844 01:14:21,248 --> 01:14:26,519 说话人 SPEAKER_05: 当技术现在以产品或服务的形式存在时。
845 01:14:26,960 --> 01:14:28,804 说话人 SPEAKER_05: 它将遇到人们。
846 01:14:28,783 --> 01:14:38,177 说话人 SPEAKER_05: 不论是通过医药、食品、金融服务、交通，然后你有这个当前框架。
847 01:14:38,217 --> 01:14:49,054 说话人 SPEAKER_05: 它们离完美不远，但我们需要赋予这个现有框架权力并对其进行更新，而不是
848 01:14:49,725 --> 01:14:59,060 说话人 SPEAKER_05：浪费时间，并且可能做出错误的决定，即在我们已有现有框架的情况下创建全新的监管框架。
849 01:15:00,341 --> 01:15:06,171 说话人 SPEAKER_10：好的，讨论部分的时间差不多快到了，但我们会有一个长时间的问答环节。
850 01:15:06,731 --> 01:15:11,059 说话人 SPEAKER_10：在我们开始之前，我还要问两个最后的问题。
851 01:15:11,274 --> 01:15:16,484 说话人 SPEAKER_10：一个是，我的意思是，我们认为这项技术将几乎影响一切。
852 01:15:16,664 --> 01:15:20,372 说话人 SPEAKER_10: 一些积极影响是惊人的。
853 01:15:20,993 --> 01:15:24,100 说话人 SPEAKER_10: 它将有助于治愈癌症、糖尿病和其他疾病。
854 01:15:24,399 --> 01:15:26,063 说话人 SPEAKER_10: 它将有助于缓解气候变化。
855 01:15:27,185 --> 01:15:29,288 说话人 SPEAKER_10: 有无数的事情。
856 01:15:29,310 --> 01:15:30,391 说话人 SPEAKER_10：发明新材料。
857 01:15:31,493 --> 01:15:34,279 说话人 SPEAKER_10：我看到这里有人专注于这个。
858 01:15:34,259 --> 01:15:38,445 说话人 SPEAKER_10：这可以在能源领域、航空航天和制药行业提供帮助。
859 01:15:39,226 --> 01:15:41,270 说话人 SPEAKER_10：这是多伦多大学的一个重大努力。
860 01:15:42,471 --> 01:15:48,081 说话人 SPEAKER_10: 但现在可以做到以前无法做到的整个新世界。
861 01:15:49,863 --> 01:15:57,574 说话人 SPEAKER_10: 所以这基本上是在推进科学，这在以前只是小说或想象的一部分。
862 01:15:59,257 --> 01:16:01,161 说话人 SPEAKER_10: 你对这部分乐观吗？
863 01:16:01,867 --> 01:16:03,680 说话人 SPEAKER_12: 我认为我们都非常乐观。
864 01:16:03,699 --> 01:16:07,707 说话人 SPEAKER_12: 我认为这对几乎所有领域都将产生巨大影响。
865 01:16:08,903 --> 01:16:29,561 说话人 SPEAKER_10: 所以我认为对于在座的真正在学习的人来说，这是一个非常激动人心的时刻加入其中，因为有机会限制负面影响，同时参与创造解决一些问题的机会，这些问题自从我们作为物种存在以来就一直伴随着我们。
866 01:16:29,582 --> 01:16:37,829 说话人 SPEAKER_10: 所以，我认为，至少从我们的角度来看，这真的是人类历史上最非凡的时刻之一。
867 01:16:37,810 --> 01:16:44,716 说话人 SPEAKER_10: 我希望那些即将开始职业生涯的人能够追求最宏伟的目标。
868 01:16:45,636 --> 01:16:52,382 说话人 SPEAKER_10: 你也可以优化广告和其他事情，或者制作更多 Netflix 节目，这很棒。
869 01:16:53,043 --> 01:16:54,385 说话人 SPEAKER_10: 但也是——绝对喜欢。
870 01:16:54,404 --> 01:16:54,625 说话人 SPEAKER_10: 是的。
871 01:16:56,065 --> 01:16:58,448 说话人 SPEAKER_10: 所以我妈妈也会，我觉得她已经对 Netflix 感到厌倦了。
872 01:17:00,250 --> 01:17:05,994 Speaker SPEAKER_10: 如果有土耳其语或韩语的剧集，她已经看完了最后一集。
873 01:17:05,975 --> 01:17:18,201 Speaker SPEAKER_10: 对于那些即将开始职业生涯的人来说，我的建议是尝试思考最大的挑战，以及你可以如何利用这项技术来帮助解决这些问题，这非常具有雄心壮志。
874 01:17:19,403 --> 01:17:24,895 说话人 SPEAKER_10: 你们都做到了这一点，并且一路上都在与障碍作斗争以实现这一点。
875 01:17:25,145 --> 01:17:33,159 说话人 SPEAKER_10: 这里有一屋子的人，还有很多人在线上，以及之后会看到这个视频的人，我认为，他们正处于做出这些决定的初期阶段。
876 01:17:33,980 --> 01:17:36,586 说话人 SPEAKER_10: 我猜你也会鼓励他们这样做，对吧？
877 01:17:36,645 --> 01:17:40,774 说话人 SPEAKER_10: 思考要尽可能宏大，去追求最大、最难的挑战。
878 01:17:41,395 --> 01:17:42,475 说话人 SPEAKER_05: 绝对如此。
879 01:17:42,496 --> 01:17:43,658 说话人 SPEAKER_05: 我的意思是，接受这一点。
880 01:17:43,738 --> 01:17:49,023 说话人 SPEAKER_05: 但我也鼓励，这是这项技术的新篇章。
881 01:17:49,064 --> 01:18:04,801 说话人 SPEAKER_05: 即使你自认为是技术专家和科学家，也不要忘记你内心也有一个人文主义者，因为你需要两者来为世界带来积极的变化。
882 01:18:06,662 --> 01:18:10,186 说话人 SPEAKER_10: 好的，最后一个问题，然后我们将进入观众提问环节。
883 01:18:11,500 --> 01:18:16,547 说话人 SPEAKER_10: 我们是否已经到了这些机器具有理解和智能的阶段？
884 01:18:18,610 --> 01:18:20,092 说话人 SPEAKER_05: 哇，这是最后一个问题了。
885 01:18:20,914 --> 01:18:22,797 说话人 SPEAKER_05: 我们还有多少时间？
886 01:18:24,060 --> 01:18:24,300 说话人 SPEAKER_10：是的。
887 01:18:26,323 --> 01:18:29,648 说话人 SPEAKER_10：好的，我会回到那个“是”。
888 01:18:29,667 --> 01:18:30,048 说话人 SPEAKER_05: 不。
889 01:18:41,943 --> 01:18:44,452 说话人 SPEAKER_10: 好的，观众有疑问吗？
890 01:18:46,198 --> 01:18:47,323 说话人 SPEAKER_10: 我从远端开始。
891 01:18:47,844 --> 01:18:48,567 说话人 SPEAKER_10: 你想站起来吗？
892 01:18:48,646 --> 01:18:50,755 说话人 SPEAKER_10: 你将被分配一个麦克风。
893 01:18:53,350 --> 01:18:54,572 说话人 SPEAKER_04: 嗨，谢谢。
894 01:18:54,612 --> 01:18:55,372 说话人 SPEAKER_04: 我叫艾莉。
895 01:18:56,333 --> 01:18:58,556 说话人 SPEAKER_04: 这太棒了，非常感谢。
896 01:18:59,637 --> 01:19:06,407 说话人 SPEAKER_04：Jeff，你的工作真的激励了我这个多伦多大学的学生去学习认知科学，听到你们两位的讲话真是太令人惊叹了。
897 01:19:07,668 --> 01:19:08,329 说话人 SPEAKER_04：我有一个问题。
898 01:19:08,390 --> 01:19:19,645 说话人 SPEAKER_04：你提到了教育和使大学能够赋权学生使用这项技术并学习的挑战。
899 01:19:19,625 --> 01:19:33,578 说话人 SPEAKER_04：Feifei，你也提到了这有可能成为一个尊严经济，并赋权人们专注于个性化、激情和他们的专业知识。
900 01:19:34,497 --> 01:19:47,369 说话人 SPEAKER_04：我想知道你们是否有人对过度使用和过度依赖 AI 可能带来的挑战有看法，尤其是对于孩子们和学生来说，他们在教育生涯中需要培养技能，使用他们的头脑，锻炼他们头上的“肉袋”。
901 01:19:47,350 --> 01:19:54,505 说话人 SPEAKER_04：我们的头脑如果不学习，就不会继续工作，也不会积累灰尘。
902 01:19:54,564 --> 01:20:04,667 说话人 SPEAKER_04：我们的头脑如果不学习，就不会继续工作，也不会积累灰尘。
903 01:20:04,646 --> 01:20:19,890 说话人 SPEAKER_04：是的，我想听听你对倦怠、过度依赖以及当你可以用稳定扩散来绘画时如何学习绘画，或者当你可以用 ChatGBT 帮你写时如何学习像莎士比亚一样写作的看法。
904 01:20:20,291 --> 01:20:29,625 说话人 SPEAKER_04：然后随着这些系统的发展，能够积累更深入的见解和更复杂的解决问题的能力，这将如何影响我们做同样事情的能力。
905 01:20:29,993 --> 01:20:38,123 说话人 SPEAKER_12：关于这一点，我有一个非常小的想法，那就是当袖珍计算器首次出现时，人们说孩子们会忘记如何做算术。
906 01:20:39,204 --> 01:20:41,649 说话人 SPEAKER_12：结果并没有成为大问题。
907 01:20:41,729 --> 01:20:45,073 说话人 SPEAKER_12：我认为孩子们可能确实忘记了如何做算术，但他们有了袖珍计算器。
908 01:20:46,654 --> 01:20:51,702 说话人 SPEAKER_12: 但这可能不是一个很好的类比，因为袖珍计算器并不比它们聪明。
909 01:20:51,962 --> 01:20:56,287 说话人 SPEAKER_12: 孩子们可能会忘记做算术，然后去做真正的数学。
910 01:20:56,268 --> 01:20:57,869 说话人 SPEAKER_12: 但对于这些东西，我不知道。
911 01:20:58,871 --> 01:21:07,640 说话人 SPEAKER_12: 对于我自己来说，我发现这实际上让我对世界更加好奇，因为我无法忍受去图书馆花半小时找相关书籍并查找信息。
912 01:21:08,282 --> 01:21:15,671 说话人 SPEAKER_12: 现在我可以随便问 ChatGPT 任何问题，它会告诉我答案，我会相信它，这可能不是正确的事情。
913 01:21:17,432 --> 01:21:21,077 说话人 SPEAKER_12: 但这实际上让我对世界更加好奇，因为我可以更快地得到答案。
914 01:21:27,082 --> 01:21:31,506 说话人 SPEAKER_12: 是的，但通常我会问关于管道和类似的问题。
915 01:21:33,157 --> 01:21:36,640 说话人 SPEAKER_05: 所以我会用一个非常快的故事来回答这个问题。
916 01:21:36,661 --> 01:21:37,801 说话人 SPEAKER_05: 我不知道你们。
917 01:21:37,902 --> 01:21:41,947 说话人 SPEAKER_05: 自从我成为斯坦福大学教授以来，我总是如此好奇。
918 01:21:41,987 --> 01:21:48,134 说话人 SPEAKER_05: 大学里有一个神秘的办公室，那就是招生办公室。
919 01:21:48,635 --> 01:21:50,756 说话人 SPEAKER_05: 对我来说，他们是最神秘的人。
920 01:21:50,877 --> 01:21:58,305 说话人 SPEAKER_05：我从来不知道他们在哪里，他们是谁，他们坐在哪里，直到今年年初接到一个电话。
